# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	E_total (J)
0	0.9955509	-4.452886e-09	-3.2105163e-10	0.38	0	0	-6.543993e-17
0	0.99565935	-1.3096724e-09	-2.746674e-10	0.39	0	0	-6.752787e-17
0	0.99576354	-2.8958311e-09	-8.62201e-10	0.40000007	0	0	-6.9616037e-17
0	0.9958639	-2.8085196e-09	8.0035534e-11	0.41000006	0	0	-7.17044e-17
0	0.9959605	-5.2677933e-09	7.8125595e-10	0.42000005	0	0	-7.379299e-17
0	0.9960536	-4.3582986e-09	-1.8226274e-09	0.43000004	0	0	-7.5881764e-17
0	0.9961432	-2.6193447e-09	7.548806e-10	0.44000003	0	0	-7.797073e-17
0	0.99622965	-2.059096e-09	-2.2464519e-10	0.45000002	0	0	-8.005989e-17
0	0.9963129	-3.979949e-09	-2.8621798e-09	0.46	0	0	-8.214921e-17
0	0.99639344	-1.3096724e-09	-1.8117134e-09	0.47	0	0	-8.423873e-17
0	0.99647117	-3.1723175e-09	-5.293259e-10	0.48	0	0	-8.63284e-17
0	0.99654615	-3.3396645e-09	-5.9480953e-10	0.49	0	0	-8.841823e-17
